"switch from c++ to swift"	0
"moved to swift from php"	0
"move from php to java"	2520
"switch from go to swift"	0
"switched from c++ to swift"	0
"switched to go from c#"	0
"moved to python from perl"	9
"switched from node to python"	2
"moved from c# to java"	1180
"switched to java from c++"	0
"move to python from go"	0
"moved to c from swift"	0
"switched from c# to perl"	0
"switch to node from python"	0
"switched from c to ruby"	0
"switched from c to visual basic"	2
"switched to python from c++"	10
"move from c# to java"	1940
"switched to python from c"	1250
"moved to visual basic from java"	0
"moved to swift from c++"	0
"moved to go from php"	0
"moved to visual basic from c++"	0
"switch from c# to swift"	0
"switched to c++ from visual basic"	0
"move from php to swift"	2
"moved to node from php"	0
"move to java from c#"	0
"switched from c# to java"	734
"move from node to c#"	0
"moved from php to c#"	3
"switch to node from c#"	0
"moved from c to go"	1
"move from swift to visual basic"	0
"switch from perl to c++"	0
"move to c# from node"	0
"switch from swift to c++"	0
"switch to java from c#"	8
"switched to ruby from python"	3
"switched from c to perl"	8
"switch to java from node"	0
"switch to swift from visual basic"	0
"switched to perl from c"	0
"switched from c++ to c"	1430
"moved from c# to php"	2
"switched to perl from go"	0
"switched to c from python"	0
"switched to c from c#"	1
"move to c from go"	0
"switched from visual basic to c#"	7
"moved to java from c#"	0
"switch to python from swift"	0
"move from c++ to c"	3630
"switch from c# to node"	3
"moved to ruby from c#"	1
"switch to php from perl"	2
"switched from perl to python"	1280
"move to visual basic from ruby"	0
"stayed with ruby"	57700
"switch from java to perl"	3
"switched to c from swift"	0
"switched from python to c#"	7
"switched from php to python"	742
"switched from c to swift"	2
"switched to c from ruby"	0
"moved to visual basic from perl"	0
"switch from ruby to perl"	1
"moved to c from java"	1
"switched to swift from visual basic"	0
"moved from c++ to swift"	0
"switched from c# to go"	0
"move from swift to php"	0
"switched to c from perl"	0
"switched from c# to c++"	7
"switch to ruby from php"	4
"moved from c# to ruby"	8
"move from perl to go"	0
"switch to ruby from c++"	0
"move from swift to go"	0
"switch to visual basic from python"	0
"moved to php from java"	0
"switched from node to swift"	0
"switch to node from java"	0
"switch to visual basic from java"	0
"move to c++ from go"	0
"switch to perl from ruby"	0
"moved to c# from node"	0
"switched to node from c#"	0
"move to ruby from python"	0
"switch to perl from visual basic"	0
"switched from ruby to python"	487
"move from c# to c++"	10
"move from visual basic to python"	0
"moved from perl to go"	0
"moved from swift to perl"	0
"switch from perl to java"	6
"move from swift to perl"	0
"move from swift to c#"	1
"moved from php to c"	2
"moved from java to go"	2
"switched from perl to visual basic"	0
"move to php from swift"	0
"switched to visual basic from php"	0
"switched to c++ from java"	3
"switched from ruby to php"	9
"switch from java to c++"	3390
"moved from c to node"	0
"moved from ruby to c"	4
"moved to perl from swift"	0
"moved from go to ruby"	0
"switch to c from swift"	0
"switch from perl to node"	0
"switch from visual basic to ruby"	0
"switched from c++ to ruby"	3
"moved from python to java"	1420
"moved from visual basic to c"	1
"switch from visual basic to c#"	695
"move to python from node"	0
"move from c to java"	6520
"switched to php from node"	0
"switched from java to c"	2570
"switch from go to ruby"	0
"moved from visual basic to swift"	0
"switched to python from perl"	6
"move to node from swift"	0
"switch to java from swift"	0
"move to c# from c++"	3
"moved from ruby to c++"	0
"moved from ruby to visual basic"	0
"switched from swift to perl"	0
"move from ruby to c"	1
"move from c++ to java"	3320
"moved to java from python"	0
"move to swift from c++"	0
"stay with node"	20200
"switched to c from php"	0
"move from visual basic to ruby"	0
"move from c++ to ruby"	208
"switched to ruby from go"	0
"move to visual basic from c"	0
"move to java from ruby"	9
"switch from python to visual basic"	0
"switched to java from c#"	5
"switch from php to visual basic"	0
"switch from visual basic to c++"	1
"moved from java to ruby"	658
"switch to visual basic from c++"	0
"switched from ruby to go"	1250
"moved from c# to c"	2
"move from c++ to php"	3
"moved from java to perl"	0
"move to visual basic from perl"	0
"switched to c++ from c#"	10
"switched from php to go"	2560
"switched from java to go"	2
"switched to python from go"	0
"move to go from visual basic"	0
"switched to go from swift"	0
"switched to c++ from swift"	0
"moved from c to c#"	10
"move to java from swift"	0
"moved from perl to ruby"	2280
"switched to java from python"	4
"switched to perl from java"	1
"move from c# to go"	0
"move to swift from perl"	0
"switch to c++ from go"	0
"switch from python to swift"	5
"moved from c# to c++"	0
"switch to php from go"	0
"switch to c# from swift"	0
"switch to swift from ruby"	0
"move from node to swift"	0
"switch to c# from ruby"	0
"switch to ruby from perl"	0
"move from perl to visual basic"	0
"switch to c from php"	0
"switch to go from perl"	0
"switched from node to visual basic"	0
"moved to perl from c"	0
"switch to go from swift"	0
"moved to c++ from ruby"	0
"moved from java to c"	5
"switched to visual basic from node"	0
"moved from c to ruby"	0
"move to perl from php"	0
"move from visual basic to go"	0
"switched from c# to python"	5
"switch from c++ to java"	951
"switch from visual basic to java"	1
"moved from swift to c#"	0
"move from java to python"	794
"switched to node from c++"	0
"move from c++ to c#"	3810
"moved from node to c++"	0
"moved from c to swift"	0
"switch from java to swift"	316
"switch to perl from c++"	0
"stayed with perl"	9
"move to c# from go"	0
"switch from ruby to visual basic"	0
"switched to node from perl"	0
"switch from python to c++"	5
"move to swift from c#"	0
"move from c# to visual basic"	0
"move to node from php"	0
"moved from python to go"	9
"moved to ruby from c++"	0
"moved to c++ from php"	0
"moved to java from go"	0
"move from ruby to visual basic"	0
"move from node to visual basic"	0
"move to visual basic from c++"	0
"moved from c to php"	0
"switched to c# from swift"	0
"switched to python from visual basic"	0
"move to c from perl"	0
"switch from java to node"	1160
"switched from java to node"	510
"switched to swift from node"	0
"move to c from python"	1
"switch from php to ruby"	506
"switched from c++ to php"	2
"switch to swift from perl"	0
"move from ruby to swift"	0
"move to c# from java"	5
"switch to go from c++"	0
"switched from c++ to java"	2500
"move from go to swift"	0
"moved to node from swift"	0
"switch from c++ to c"	3550
"moved from go to node"	1
"switch from java to c"	2410
"switch from perl to swift"	0
"move to c from php"	0
"switched from visual basic to php"	0
"move from python to c"	2500
"moved from c to java"	5800
"move to ruby from java"	0
"switch to c from go"	0
"move to java from php"	2
"switched from python to c++"	6
"switch from node to c#"	0
"switch to ruby from swift"	0
"move from c# to php"	3
"switched to java from ruby"	5
"switch to visual basic from go"	0
"switched to c from node"	0
"switch to java from perl"	0
"moved to perl from visual basic"	0
"moved to c from python"	1
"moved to node from perl"	0
"moved from visual basic to perl"	2
"move from perl to node"	1
"moved from python to c#"	8
"switch from c++ to node"	0
"switch from python to java"	2270
"moved from ruby to go"	3800
"switched from swift to c#"	0
"moved to c# from python"	1
"move to java from python"	4
"switched from visual basic to c"	2
"switch from c++ to go"	3
"move to ruby from php"	1
"move to c from java"	2
"moved from python to php"	2
"moved from java to php"	8
"switch from java to visual basic"	1
"switched to c++ from c"	8
"switched to ruby from node"	0
"moved from visual basic to c#"	10
"switched from ruby to c"	2
"move to ruby from c++"	0
"switched from python to perl"	7
"switch to perl from go"	0
"move to go from php"	0
"switch to php from c#"	0
"stay with c++"	21000
"switch to ruby from node"	0
"move from python to swift"	0
"switch to python from java"	1
"switched from c to node"	0
"move from python to c++"	8
"stayed with visual basic"	1
"switched to ruby from perl"	5
"switch from c# to c"	2580
"moved to go from node"	0
"switch to java from python"	4
"moved from java to node"	905
"moved to ruby from python"	4
"switch from perl to ruby"	860
"moved to c from c++"	0
"move to java from perl"	2
"move from java to c#"	2030
"moved from perl to swift"	0
"switched to visual basic from swift"	0
"moved from python to ruby"	889
"moved to swift from go"	0
"stay with ruby"	267000
"moved to ruby from go"	0
"switched from php to c++"	0
"move from visual basic to c++"	1
"moved to java from visual basic"	0
"moved from swift to python"	0
"move to visual basic from swift"	0
"switched to node from java"	1
"move from ruby to go"	4
"moved to python from c++"	0
"moved to visual basic from php"	0
"move to visual basic from c#"	0
"switched to swift from c"	0
"moved from node to go"	1
"moved from go to c"	0
"switch from go to java"	0
"switch from go to c#"	0
"moved to ruby from c"	0
"move to node from java"	1
"switch from c++ to python"	1120
"stayed with c++"	5
"moved from php to ruby"	725
"switch to c from ruby"	0
"switch from c to swift"	1
"switched from c++ to node"	0
"switched to python from php"	7
"moved from c to python"	2160
"switched to go from perl"	0
"switched from c++ to go"	5
"moved from node to swift"	0
"moved from python to visual basic"	0
"moved from node to ruby"	1
"stayed with go"	196000
"switch to c# from python"	1
"move to java from node"	0
"moved from node to python"	0
"move to c# from python"	0
"stay with perl"	15900
"moved from c to c++"	11900
"move from python to java"	1180
"moved to c from ruby"	0
"switch from c++ to visual basic"	0
"moved to c++ from c"	1580
"switched from php to visual basic"	0
"switched from java to php"	1110
"switched from java to python"	1260
"moved to go from perl"	0
"switched from ruby to perl"	0
"moved from go to visual basic"	0
"moved from visual basic to python"	0
"switch from go to perl"	0
"move to c from c#"	0
"switched to c++ from python"	1
"switched from ruby to c++"	0
"switch to ruby from go"	0
"moved to python from php"	5
"switch to c# from node"	0
